bg,am,co,cs,eu,na
36,38,113,95,314,60
36,31,131,96,312,62
23,26,125,99,302,61
35,33,136,107,327,52
35,26,121,108,288,54
35,34,132,90,285,68
28,29,115,116,293,38
27,34,133,113,312,48
32,26,124,84,299,52
29,34,114,91,339,57
27,17,121,102,296,45
35,27,111,89,298,52
26,32,127,97,283,52
30,28,114,96,276,50
25,39,114,84,250,50
27,24,100,102,264,46
22,29,110,89,245,46
20,23,113,89,246,54
24,26,113,68,281,62
26,28,122,99,234,43
21,26,128,92,246,43
22,28,107,110,217,37
17,28,110,69,208,48
14,25,117,81,193,42
16,18,119,87,194,36
13,25,122,74,185,58
25,30,126,89,191,48
31,23,107,71,203,59
17,24,103,72,155,42
19,30,100,76,180,37
20,14,107,77,174,43
25,23,102,76,170,36
12,18,109,79,146,35
19,23,91,70,180,33
23,19,84,70,142,53
18,19,89,82,142,32
14,22,106,82,153,37
19,22,93,88,168,39
14,15,90,74,144,45
29,24,83,74,105,39
22,22,86,81,140,38
18,20,80,79,139,42
14,23,72,74,128,43
21,22,86,78,107,40
23,18,92,98,138,34
23,19,100,85,136,23
13,13,107,70,108,45
11,15,82,76,127,39
18,16,86,74,135,41
20,21,94,81,130,35
17,25,87,72,159,33
17,22,84,55,137,30
11,23,109,75,128,40
14,24,84,68,124,34
27,19,79,44,131,43
23,23,78,78,109,30
14,20,89,78,126,33
19,18,93,73,125,34
20,18,76,74,111,39
17,17,85,76,115,31
14,19,87,76,115,36
10,22,75,62,113,40
16,18,81,62,125,35
18,12,96,62,116,30
14,18,77,64,107,32
21,14,91,64,137,38
19,22,89,58,106,42
15,20,77,64,115,42
19,24,83,71,124,41
11,19,69,76,122,30
9,19,71,62,118,38
11,21,79,54,139,34
17,9,80,56,111,29
19,19,80,61,111,40
17,20,96,61,107,27
13,17,89,65,121,27
12,15,67,57,108,30
20,18,72,44,137,28
17,7,77,66,110,31
17,15,86,59,118,35
7,18,80,67,140,34
9,20,75,59,130,33
11,15,66,71,139,24
15,13,61,76,126,34
13,16,74,54,120,21
10,15,73,51,128,17
16,13,75,42,123,29
15,15,77,65,147,28
15,13,71,69,135,30
13,14,74,57,141,36
16,16,76,69,152,29
20,11,65,56,123,22
7,16,69,40,166,30
13,18,64,67,137,29
10,10,55,50,169,30
8,11,77,61,182,28
16,13,62,48,174,39
14,17,78,55,187,32
21,10,69,56,205,30
11,18,76,52,214,31
9,20,65,53,199,29
8,13,69,61,220,31
18,13,82,55,219,31
15,14,57,64,223,35
9,8,51,62,260,22
14,14,55,51,262,28
3,13,69,49,289,22
12,16,59,49,308,19
13,18,62,57,276,25
10,14,82,72,289,22
23,11,71,50,309,21
10,12,82,57,325,22
11,15,68,42,329,22
15,16,48,63,378,29
11,12,60,55,379,25
15,23,64,60,352,21
12,17,71,52,382,30
13,11,65,51,351,25
12,16,58,54,348,26
19,10,59,55,413,23
9,12,60,63,346,22
15,10,52,71,386,15
10,16,67,63,387,17
7,19,67,68,384,21
8,11,78,53,385,26
10,11,66,56,422,23
8,20,51,64,368,26
12,13,55,49,407,21
10,8,49,55,374,26
8,11,64,55,408,24
12,16,59,63,406,28
11,11,58,48,410,16
13,16,47,56,401,12
9,17,47,56,395,17
8,6,60,66,346,16
13,13,52,54,356,16
13,16,63,63,335,22
12,10,54,50,330,29
14,16,51,53,324,18
10,11,52,65,353,23
17,12,54,58,327,17
8,6,59,60,322,16
11,8,49,53,323,15
9,16,56,50,287,19
16,14,57,55,303,20
14,10,54,55,277,23
12,9,51,66,273,14
12,16,41,60,272,19
8,12,46,47,230,22
9,16,50,49,245,12
11,12,48,46,219,15
10,12,60,49,228,19
10,2,57,31,196,22
12,9,45,47,196,22
9,13,52,45,210,18
15,4,54,53,185,18
7,8,52,56,198,11
9,10,56,62,162,9
10,10,54,54,165,16
8,12,48,41,146,21
13,10,49,56,144,17
16,7,38,49,140,8
3,9,39,58,118,18
7,9,42,42,115,17
9,9,61,62,117,13
7,13,48,55,121,11
6,5,47,40,89,16
6,13,42,62,103,16
7,7,50,51,95,11
8,9,42,46,90,17
7,9,58,45,99,15
7,4,28,46,70,19
4,10,51,51,92,19
5,12,38,45,77,11
8,10,50,39,80,10
6,5,52,43,89,15
9,13,36,56,87,9
7,11,38,48,82,14
11,12,43,47,96,12
9,10,40,33,85,10
8,4,46,35,80,17
14,2,50,49,81,10
6,8,48,50,74,13
10,8,38,30,75,7
10,9,36,58,78,12
6,5,50,48,56,13
10,5,39,42,64,10
6,14,43,43,57,16
7,12,36,65,65,17
4,5,50,45,81,13
6,7,49,50,73,9
6,7,46,36,63,10
13,7,47,46,71,21
9,5,33,59,85,16
5,9,52,54,70,10
10,14,41,56,95,9
8,14,50,47,75,12
6,6,48,45,74,11
7,7,36,50,74,17
3,7,45,41,82,13
8,5,41,54,92,12
7,9,40,35,63,17
3,5,44,61,62,13
9,5,34,54,64,8
7,6,43,29,63,12
6,7,51,43,57,12
8,7,38,52,76,13
3,6,39,40,72,11
5,5,34,55,81,13
6,13,47,45,65,14
5,3,51,43,68,14
6,8,49,47,75,11
7,8,47,42,70,13
3,3,43,45,62,11
2,7,45,63,67,8
10,1,41,52,60,11
3,5,45,49,70,8
10,7,50,39,68,10
4,6,57,47,70,14
8,6,45,51,82,11
2,11,39,36,77,13
0,2,41,41,73,13
7,2,47,43,64,10
3,9,28,48,76,8
9,5,41,49,82,10
7,6,44,43,70,5
7,3,35,51,61,12
2,7,36,63,64,9
6,5,43,40,88,6
4,8,37,52,83,8
6,3,34,43,72,7
4,7,39,43,71,20
4,5,43,48,64,18
4,4,35,47,81,6
7,7,47,40,68,8
7,5,48,43,82,13
4,6,35,54,58,13
7,4,43,45,75,19
7,8,35,48,71,12
4,10,28,48,55,12
5,7,44,52,79,9
7,6,36,39,93,7
6,3,32,46,63,10
3,6,30,50,60,10
8,5,53,42,70,13
2,7,43,40,66,11
5,4,46,42,64,12
4,5,29,45,75,10
6,3,33,42,87,10
4,9,45,37,71,13
5,8,37,37,70,12
1,4,41,46,62,6
5,6,43,47,62,10
4,6,39,48,63,10
8,7,32,33,70,6
4,6,52,44,74,11
5,7,36,60,75,9
3,6,28,44,75,10
4,6,44,39,69,10
7,4,48,34,63,11
4,6,35,45,63,7
5,3,44,32,71,9
6,3,49,32,60,12
3,3,52,46,46,9
5,5,36,29,61,8
4,4,37,52,67,10
3,7,40,41,60,16
10,5,38,31,53,11
3,5,41,35,49,12
4,5,42,27,59,14
6,3,37,32,59,14
6,6,34,47,55,12
6,3,36,25,45,13
2,5,29,36,64,23
5,5,49,39,72,12
3,8,33,26,73,12
3,3,34,29,56,10
3,3,39,32,66,11
6,5,38,24,57,12
5,7,41,27,59,15
