x,y
-0.3784,-1.8018
-0.3979,-1.8604
-0.4272,-1.9214
-0.4468,-1.98
-0.4468,-2.0093
-0.498,-2.0898
-0.5078,-2.1484
-0.5176,-2.1899
-0.5371,-2.229
-0.5566,-2.2778
-0.5762,-2.3193
-0.5859,-2.3584
-0.6274,-2.4072
-0.6372,-2.4487
-0.6274,-2.4878
-0.6665,-2.5488
-0.686,-2.5781
-0.7056,-2.627
-0.7153,-2.666
-0.6958,-2.7173
-0.7471,-2.7661
-0.7251,-2.7856
-0.7568,-2.8369
-0.7764,-2.8662
-0.7666,-2.8857
-0.8057,-2.9248
-0.8154,-2.9468
-0.8252,-2.9761
-0.8252,-3.0054
-0.8252,-3.0249
-0.8252,-3.0444
-0.8447,-3.0444
-0.8447,-3.0542
-0.8447,-3.0542
-0.8447,-3.0444
-0.8545,-3.0151
-0.8252,-2.9663
-0.8252,-2.915
-0.835,-2.8369
-0.8252,-2.7563
-0.8447,-2.7075
-0.835,-2.6367
-0.8154,-2.5781
-0.7959,-2.5073
-0.7959,-2.4683
-0.7861,-2.3877
-0.7959,-2.3291
-0.7764,-2.2485
-0.7764,-2.1802
-0.7568,-2.1094
-0.7568,-2.041
-0.7349,-1.9604
-0.7349,-1.8799
-0.7251,-1.8115
-0.7056,-1.7212
-0.686,-1.6528
-0.6958,-1.5625
-0.686,-1.4722
-0.686,-1.3818
-0.686,-1.2842
-0.6763,-1.1743
-0.6665,-1.0742
-0.686,-0.9839
-0.6665,-0.8765
-0.6372,-0.7959
-0.6274,-0.6958
-0.6177,-0.6274
-0.6274,-0.5273
-0.6177,-0.4565
-0.6177,-0.3589
-0.6055,-0.2588
-0.5957,-0.1782
-0.5566,-0.0879
-0.5664,0
-0.5762,0.0903
-0.5371,0.1904
-0.5469,0.2783
-0.5273,0.3687
-0.5078,0.459
-0.4883,0.5469
-0.4761,0.6177
-0.4565,0.7178
-0.4272,0.7959
-0.3979,0.8667
-0.3271,0.9253
-0.3076,0.9961
-0.2393,1.0864
-0.1392,1.1353
-0.0781,1.1841
0.0098,1.2549
0.0415,1.2939
0.1099,1.3354
0.1807,1.4038
0.2295,1.4429
0.2588,1.4941
0.3198,1.543
0.3198,1.5723
0.3589,1.6431
0.4077,1.6821
0.4077,1.7114
0.459,1.7822
0.4688,1.853
0.5078,1.8921
0.5273,1.9727
0.5273,2.0117
0.5688,2.0703
0.5591,2.1313
0.5884,2.1899
0.6177,2.2314
0.6177,2.2803
0.647,2.3389
0.6665,2.3706
0.6885,2.4097
0.708,2.4683
0.7178,2.5195
0.7666,2.5586
0.7666,2.5879
0.7861,2.6489
0.7861,2.688
0.7959,2.7271
0.8179,2.7783
0.8374,2.8076
0.8472,2.8369
0.8472,2.8662
0.8667,2.8882
0.9058,2.937
0.9058,2.9663
0.9155,2.9858
0.9253,2.9956
0.9351,3.0176
0.9351,3.0371
0.9473,3.0566
0.9351,3.0371
0.9351,3.0371
0.9351,3.0273
0.9253,3.0176
0.7471,2.9468
0.896,2.8784
0.9058,2.7979
0.9155,2.7368
0.9058,2.688
0.9155,2.6294
0.896,2.5586
0.8862,2.5
0.8765,2.4292
0.8667,2.3804
0.8667,2.2998
0.8569,2.2314
0.8569,2.1704
0.8374,2.1118
0.8569,2.0215
0.8276,1.9507
0.8276,1.8726
0.8057,1.792
0.7959,1.7236
0.8057,1.6431
0.7861,1.543
0.7666,1.4648
0.7666,1.3647
0.7666,1.2646
0.7471,1.1646
0.7568,1.0547
0.7568,0.9668
0.7471,0.8765
0.7275,0.7764
0.7275,0.6885
0.7178,0.5981
0.6982,0.498
0.6982,0.4175
0.6885,0.3394
0.6763,0.249
0.6763,0.1587
0.6665,0.0708
0.6567,-0.0195
0.6274,-0.1099
0.647,-0.188
0.6274,-0.2979
0.5981,-0.3687
0.5884,-0.4663
0.5981,-0.5566
0.5469,-0.6274
0.5176,-0.7056
0.5078,-0.7959
0.4688,-0.8765
0.4395,-0.9546
0.3687,-1.0352
0.3101,-1.1133
0.2295,-1.1646
